Year,"Agriculture, Fishing and Forestry",Consumable Product,Defence and Security,Direct Industrial product,Energy sources,"Engineering, Machinery and Equipment","Health, Finance and Education",Housing and Entertainment Services,Mining Product and Activities,Other industry and services,Technology and Communication Activities,Transport,Waste,Fossil CO2 Emissions (tons)
1995-01-11,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-12,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-13,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-14,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-15,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-16,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-17,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-18,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-19,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-20,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-21,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-22,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-23,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-24,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-25,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-26,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
